houseid,description,price,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,city,province
107,"4-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ADELLE Model",3336800.0,4.0,2.0,70.0,60.0,14.4129793,120.8886677,San Sebastian,Kawit
108,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Hyde Model",2705850.0,3.0,2.0,77.3,154.0,15.0941848,120.6701583,Km.71,North Luzon Expressway Panipuan
109,"For Sale 2-Bedroom 2-Storey Townhouse in Mabalacat, Pampanga at Talanai Homes | MAHOGANY",1400000.0,2.0,1.0,40.0,40.0,15.1987752,120.6026101,Sapang Biabas,Mabalacat
110,02376 Brand New Ponte Verde House for Sale in Davao City,21500000.0,5.0,4.0,300.0,200.0,7.1469686,125.5940509,Buhangin,Davao
111,"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | AIRA Model",5282600.0,3.0,2.0,80.0,92.0,14.4084522,120.8964956,Alapan Ii-A,Imus
112,"Ready For You: Townhouse for Sale in Capas, Tarlac at Ajoya Capas",2351000.0,,2.0,49.0,50.0,15.38374425,120.5870832,Talaga,Capas
113,"Ready For You: 3BR SA House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Cabanatuan at Php 43,175 monthly amortization",5381000.0,3.0,2.0,80.0,203.0,15.4799841,120.9920413,Valle Cruz,Cabanatuan
114,"For Sale 3-Bedroom Townhouse in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence",2258057.0,3.0,1.0,45.0,62.0,14.366749,120.8184475,Antero Soriano Highway Sahud Ulan,Tanza
115,"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara w/ CB 99sqm",5991000.0,3.0,2.0,66.0,99.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
116,"Townhouse with 2 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model",3600000.0,2.0,2.0,48.3,50.0,7.1035383,125.4948467,Tugbok,Davao
117,"For Sale RFO 2BR 2-Storey Townhouse in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Reana IU 36sqm",2972000.0,2.0,1.0,40.0,36.0,15.4710779,120.9821312,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
118,"2BR 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY",1400000.0,2.0,1.0,40.0,40.0,15.1987752,120.6026101,Sapang Biabas,Mabalacat
